date,red_mosquito,kor_mosquito,gold_mosquito,black_mosquito
2015-04-19,17,0,1,0
2015-04-26,19,5,5,0
2015-05-03,13,4,1,0
2015-05-10,20,13,2,0
2015-05-17,65,22,1,0
2015-05-24,88,27,1,0
2015-05-31,80,23,3,0
2015-06-07,134,8,2,0
2015-06-14,213,20,9,0
2015-06-21,244,4,12,0
2015-06-28,335,31,9,0
2015-07-05,717,33,13,0
2015-07-12,807,29,29,0
2015-07-19,872,17,19,0
2015-07-26,513,13,37,0
2015-08-02,763,48,62,0
2015-08-09,467,32,12,0
2015-08-16,618,58,9,0
2015-08-23,505,24,20,1
2015-08-30,211,38,30,0
2015-09-06,183,17,14,0
2015-09-13,203,32,4,0
2015-09-20,150,18,7,0
2015-09-27,190,12,13,0
2015-10-04,455,7,3,0
2015-10-11,285,1,1,0
2015-10-18,376,2,9,0
2015-10-25,283,2,2,0
2015-11-01,207,0,0,0
2015-11-08,144,0,0,0
2015-11-15,138,0,0,0
2016-04-17,7,0,0,0
2016-04-24,40,6,0,0
2016-05-01,35,7,1,0
2016-05-08,109,15,3,0
2016-05-15,99,18,9,0
2016-05-22,105,28,9,0
2016-05-29,165,40,13,0
2016-06-05,294,26,8,0
2016-06-12,428,32,1,0
2016-06-19,794,60,4,0
2016-06-26,1016,41,11,0
2016-07-03,635,19,0,0
2016-07-10,1401,86,25,1
2016-07-17,1030,73,32,0
2016-07-24,1151,110,25,0
2016-07-31,777,72,6,0
2016-08-07,838,84,12,0
2016-08-14,441,37,7,0
2016-08-21,545,15,20,0
2016-08-28,393,31,6,0
2016-09-04,494,24,12,0
2016-09-11,520,38,6,0
2016-09-18,660,26,11,0
2016-09-25,708,88,4,0
2016-10-02,648,28,0,0
2016-10-09,576,26,8,0
2016-10-16,590,23,1,0
2016-10-23,593,16,3,0
2016-10-30,54,0,0,0
2016-11-06,330,4,2,0
2016-11-13,193,0,0,0
2017-04-23,43,0,0,0
2017-04-30,34,0,0,0
2017-05-07,31,0,0,0
2017-05-14,134,21,0,0
2017-05-21,167,18,6,0
2017-05-28,59,15,1,0
2017-06-04,168,14,3,0
2017-06-11,177,10,2,0
2017-06-18,254,29,3,0
2017-06-25,501,18,3,0
2017-07-02,597,23,3,0
2017-07-09,287,43,2,0
2017-07-16,408,31,3,0
2017-07-23,490,51,3,0
2017-07-30,368,113,5,0
2017-08-06,147,119,7,0
2017-08-13,182,70,1,0
2017-08-20,202,109,0,0
2017-08-27,208,33,2,0
2017-09-03,538,74,22,1
2017-09-10,436,48,3,0
2017-09-17,840,87,5,0
2017-09-24,533,44,0,0
2017-10-08,442,51,0,0
2017-10-15,542,16,0,0
2017-10-22,284,12,2,0
2017-10-29,140,1,0,0
2017-11-05,133,2,1,0
2017-11-12,140,3,0,0
2018-04-22,14,0,0,0
2018-04-29,6,0,0,0
2018-05-06,27,0,0,0
2018-05-13,28,0,0,0
2018-05-20,50,0,0,1
2018-05-27,35,0,0,0
2018-06-03,35,0,0,3
2018-06-10,29,0,0,5
2018-06-17,71,0,0,1
2018-06-24,95,0,0,1
2018-07-01,160,0,0,1
2018-07-08,123,0,0,0
2018-07-15,154,0,0,17
2018-07-22,191,0,0,25
2018-07-29,321,0,0,10
2018-08-05,336,0,0,19
2018-08-12,226,0,0,8
2018-08-19,309,0,0,16
2018-08-26,205,0,0,5
2018-09-02,149,0,0,0
2018-09-09,156,0,0,0
2018-09-16,268,0,0,22
2018-09-23,210,0,0,5
2018-09-30,340,0,0,25
2018-10-07,243,0,0,0
2018-10-14,310,0,0,1
2018-10-21,350,0,0,1
2018-10-28,79,0,0,0
2018-11-04,222,0,0,0
2018-11-11,168,0,0,0
2019-04-14,29,0,0,0
2019-04-21,83,0,0,0
2019-04-28,53,1,0,0
2019-05-05,28,1,0,0
2019-05-12,55,5,0,0
2019-05-19,27,5,0,0
2019-05-26,28,3,1,0
2019-06-02,49,12,3,0
2019-06-09,139,13,9,0
2019-06-16,165,31,18,0
2019-06-23,91,22,19,0
2019-06-30,236,12,4,1
2019-07-07,305,41,4,3
2019-07-14,320,43,3,3
2019-07-21,375,32,4,4
2019-07-28,305,25,5,10
2019-08-04,173,32,23,11
2019-08-11,151,49,6,1
2019-08-18,112,39,8,14
2019-08-25,138,49,5,1
2019-09-01,142,49,2,3
2019-09-08,109,55,2,1
2019-09-15,142,27,10,6
2019-09-22,234,62,1,6
2019-09-29,240,25,0,7
2019-10-06,192,7,0,1
2019-10-13,333,10,0,1
2019-10-20,369,27,0,3
2019-10-27,327,7,0,0
2019-11-03,380,1,0,0
2019-11-10,117,3,0,2
2020-05-10,32,0,0,0
2020-05-17,36,4,0,0
2020-05-24,59,7,0,0
2020-05-31,97,19,5,1
2020-06-07,42,35,2,0
2020-06-14,67,15,1,0
2020-06-21,147,40,5,1
2020-06-28,177,11,3,10
2020-07-05,268,31,3,3
2020-07-12,236,21,6,1
2020-07-19,222,46,3,2
2020-07-26,293,56,6,1
2020-08-02,168,31,1,1
2020-08-09,295,84,0,2
2020-08-16,130,83,1,14
2020-08-23,126,56,1,10
2020-08-30,99,62,1,3
2020-09-06,259,20,2,4
2020-09-13,157,22,0,10
2020-09-20,240,42,0,2
2020-09-27,281,52,0,3
2020-10-04,327,9,0,1
2020-10-11,313,9,0,1
2020-10-18,393,4,0,1
2020-10-25,255,1,0,0
2020-11-01,105,1,1,0
2020-11-08,37,0,0,0
