사업명,조사시작일자,조사종료일자,조사기간,설치장소,행정구역,조사지점,조사방법
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 고양시 덕양구 대장길,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 김포시 사우중로,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 김포시 하성면 애기봉로,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 동두천시 하봉암로,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 연천군 군남면 남계로,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 연천군 신서면 도대로,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 의정부시 송산로,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 파주시 군내면 통일로,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 파주시 군내면 통일촌길,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 파주시 문산읍 마정로,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 파주시 탄현면 국원말길,"유문등 설치, 매주 2회 모기채집"
말라리아매개모기 조사감시사업,2019-04-01,2019-11-02,2019-04-01~2019-11-02,거주지,경기도,경기도 포천시 호국로,"유문등 설치, 매주 2회 모기채집"
일본뇌염 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,우사,경기도,경기도 수원시 광교산로 소재 우사,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 고양시 덕양구 대장길,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 김포시 사우중로,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 김포시 하성면 애기봉로,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 동두천시 하봉암로,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 연천군 군남면 남계로,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 연천군 신서면 도대로,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 의정부시 송산로,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 파주시 군내면 통일로,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 파주시 군내면 통일촌길,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 파주시 문산읍 마정로,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 파주시 탄현면 국원말길,"유문등 설치, 매주 2회 모기채집"
말라리아 예측사업,2018-04-01,2018-11-03,2018-04-01~2018-11-03,거주지,경기도,경기도 포천시 호국로,"유문등 설치, 매주 2회 모기채집"

