date,mosquito
2018-04-01,918
2018-04-02,1872
2018-04-03,1493
2018-04-04,450
2018-04-05,654
2018-04-06,212
2018-04-07,121
2018-04-08,68
2018-04-09,197
2018-04-10,342
2018-04-11,524
2018-04-12,310
2018-04-13,504
2018-04-14,928
2018-04-15,163
2018-04-16,250
2018-04-17,420
2018-04-18,384
2018-04-19,368
2018-04-20,548
2018-04-21,782
2018-04-22,883
2018-04-23,364
2018-04-24,216
2018-04-25,367
2018-04-26,803
2018-04-27,755
2018-04-28,808
2018-04-29,753
2018-04-30,1351
2018-05-01,1599
2018-05-02,1842
2018-05-03,528
2018-05-04,971
2018-05-05,1120
2018-05-06,2397
2018-05-07,2196
2018-05-08,2388
2018-05-09,2514
2018-05-10,1695
2018-05-11,1058
2018-05-12,2834
2018-05-13,1682
2018-05-14,1710
2018-05-15,3721
2018-05-16,7085
2018-05-17,4876
2018-05-18,3236
2018-05-19,2558
2018-05-20,5813
2018-05-21,3981
2018-05-22,4010
2018-05-23,4421
2018-05-24,3679
2018-05-25,5690
2018-05-26,4650
2018-05-27,6975
2018-05-28,5654
2018-05-29,6844
2018-05-30,5417
2018-05-31,5665
2018-06-01,7121
2018-06-02,7541
2018-06-03,6739
2018-06-04,7218
2018-06-05,2418
2018-06-06,4392
2018-06-07,4303
2018-06-08,5235
2018-06-09,5930
2018-06-10,13496
2018-06-11,10604
2018-06-12,15266
2018-06-13,16022
2018-06-14,21609
2018-06-15,20585
2018-06-16,21683
2018-06-17,22465
2018-06-18,19329
2018-06-19,19825
2018-06-20,0
2018-06-21,0
2018-06-22,22544
2018-06-23,22871
2018-06-24,20944
2018-06-25,28768
2018-06-26,22007
2018-06-27,11240
2018-06-28,20579
2018-06-29,19979
2018-06-30,19696
2018-07-01,22613
2018-07-02,19157
2018-07-03,15334
2018-07-04,15554
2018-07-05,19839
2018-07-06,18581
2018-07-07,18686
2018-07-08,21857
2018-07-09,22773
2018-07-10,17738
2018-07-11,16544
2018-07-12,16560
2018-07-13,14872
2018-07-14,15366
2018-07-15,17359
2018-07-16,14623
2018-07-17,13647
2018-07-18,13122
2018-07-19,15647
2018-07-20,15128
2018-07-21,14796
2018-07-22,15725
2018-07-23,18574
2018-07-24,13036
2018-07-25,18607
2018-07-26,18141
2018-07-27,18397
2018-07-28,21743
2018-07-29,21234
2018-07-30,22382
2018-07-31,19003
2018-08-01,17982
2018-08-02,17977
2018-08-03,16560
2018-08-04,15990
2018-08-05,14449
2018-08-06,16691
2018-08-07,16954
2018-08-08,13826
2018-08-09,16999
2018-08-10,15954
2018-08-11,16658
2018-08-12,16597
2018-08-13,16330
2018-08-14,15850
2018-08-15,16657
2018-08-16,17760
2018-08-17,10922
2018-08-18,15693
2018-08-19,18666
2018-08-20,18580
2018-08-21,10688
2018-08-22,14044
2018-08-23,18122
2018-08-24,13152
2018-08-25,15354
2018-08-26,13748
2018-08-27,13977
2018-08-28,10590
2018-08-29,15162
2018-08-30,12423
2018-08-31,13142
2018-09-01,8540
2018-09-02,9279
2018-09-03,9882
2018-09-04,7170
2018-09-05,8085
2018-09-06,8666
2018-09-07,8740
2018-09-08,6878
2018-09-09,6960
2018-09-10,7458
2018-09-11,8947
2018-09-12,7590
2018-09-13,7734
2018-09-14,8910
2018-09-15,10058
2018-09-16,11401
2018-09-17,10191
2018-09-18,8257
2018-09-19,9373
2018-09-20,8669
2018-09-21,6420
2018-09-22,8489
2018-09-23,8500
2018-09-24,8427
2018-09-25,6177
2018-09-26,6824
2018-09-27,6872
2018-09-28,5539
2018-09-29,4955
2018-09-30,6270
2018-10-01,5096
2018-10-02,3897
2018-10-03,3877
2018-10-04,4171
2018-10-05,6265
2018-10-06,2693
2018-10-07,5125
2018-10-08,2880
2018-10-09,2393
2018-10-10,3595
2018-10-11,1347
2018-10-12,1167
2018-10-13,995
2018-10-14,1487
2018-10-15,1979
2018-10-16,2403
2018-10-17,1919
2018-10-18,861
2018-10-19,1186
2018-10-20,1266
2018-10-21,1036
2018-10-22,1596
2018-10-23,1325
2018-10-24,1445
2018-10-25,1182
2018-10-26,2015
2018-10-27,983
2018-10-28,494
2018-10-29,584
2018-10-30,356
2018-10-31,469
